FID	IID	SEX	AGE
3	1	2	64
4	2	2	29
5	3	1	64
6	4	2	21
7	5	2	38
8	6	1	-9
9	7	1	43
10	8	2	51
11	9	2	20
12	10	1	45
13	11	2	27
14	12	2	62
15	13	2	26
16	14	1	43
17	15	2	29
18	16	1	-9
19	17	1	-9
20	18	1	57
21	19	2	52
22	20	2	32
23	21	2	25
24	22	2	52
25	23	1	35
26	24	2	62
27	25	1	63
28	26	1	20
30	27	2	22
31	28	1	34
32	29	1	41
33	30	2	27
34	31	2	41
35	32	2	51
36	33	2	34
37	34	1	34
38	35	2	45
39	36	1	45
40	37	2	35
42	38	2	42
43	39	2	57
45	40	1	32
46	41	1	25
47	42	1	54
48	43	1	71
49	44	1	43
50	45	1	32
51	46	1	31
52	47	2	43
53	48	2	27
54	49	1	25
55	50	1	22
56	51	2	38
57	52	1	73
58	53	1	36
59	54	1	21
60	55	1	26
62	56	1	29
63	57	1	75
65	58	1	71
66	59	1	50
67	60	2	30
68	61	1	52
69	62	2	31
70	63	1	32
72	64	2	-9
73	65	1	28
74	66	1	69
75	67	1	32
76	68	1	63
77	69	2	-9
78	70	2	52
79	71	2	53
80	72	1	35
82	73	1	50
83	74	2	37
84	75	1	44
85	76	2	-9
86	77	1	53
87	78	2	31
88	79	1	55
89	80	1	22
90	81	2	51
91	82	2	-9
92	83	1	43
93	84	2	26
94	85	2	45
95	86	1	71
96	87	1	72
97	88	2	32
98	89	2	56
99	90	1	66
100	91	2	25
101	92	1	33
102	93	1	50
103	94	2	-9
104	95	1	43
105	96	2	68
106	97	2	36
107	98	2	32
109	99	2	65
110	100	2	23
111	101	1	68
112	102	1	20
113	103	1	22
114	104	1	21
115	105	2	57
116	106	1	-9
117	107	2	22
118	108	2	24
119	109	2	30
120	110	1	76
121	111	1	47
122	112	2	58
123	113	1	46
125	114	2	22
126	115	1	57
128	116	2	63
129	117	2	54
130	118	2	56
131	119	1	25
132	120	1	23
133	121	1	62
134	122	1	26
135	123	1	52
136	124	1	58
137	125	2	31
138	126	1	73
139	127	1	62
141	128	1	22
142	129	2	59
143	130	2	62
144	131	2	24
145	132	1	42
146	133	2	31
147	134	1	44
148	135	2	53
149	136	2	70
150	137	2	41
151	138	1	41
152	139	2	25
153	140	2	29
154	141	1	67
155	142	2	51
156	143	1	43
158	144	1	74
159	145	2	21
161	146	2	51
162	147	1	-9
163	148	2	27
164	149	1	22
165	150	1	21
166	151	2	52
167	152	1	43
168	153	2	34
169	154	1	60
170	155	2	57
171	156	2	51
172	157	2	36
173	158	2	44
174	159	1	20
175	160	2	62
176	161	1	39
177	162	2	45
178	163	2	48
179	164	1	63
180	165	2	65
181	166	2	34
182	167	1	52
183	168	2	57
184	169	2	59
185	170	1	67
186	171	1	26
187	172	2	35
188	173	1	46
189	174	1	64
190	175	2	33
192	176	2	50
193	177	1	55
194	178	1	59
195	179	2	30
196	180	2	77
197	181	2	23
198	182	1	59
199	183	1	72
200	184	2	53
